Date,Discharge_Capacity,group,static,index
2015-11-13 12:08:14,5.4348825440087E-10,45007,1,1048
2015-11-13 12:08:24,5.4348825440087E-10,45007,1,1049
2015-11-13 12:08:34,5.4348825440087E-10,45007,1,1050
2015-11-13 12:08:44,5.4348825440087E-10,45007,1,1051
2015-11-13 12:08:54,5.4348825440087E-10,45007,1,1052
2015-11-13 12:09:04,5.4348825440087E-10,45007,1,1053
2015-11-13 12:09:14,5.4348825440087E-10,45007,1,1054
2015-11-13 12:09:24,5.4348825440087E-10,45007,1,1055
2015-11-13 12:09:34,5.4348825440087E-10,45007,1,1056
2015-11-13 12:09:44,5.4348825440087E-10,45007,1,1057
2015-11-13 12:09:54,5.4348825440087E-10,45007,1,1058
2015-11-13 12:10:04,5.4348825440087E-10,45007,1,1059
2015-11-13 12:10:14,5.4348825440087E-10,45007,1,1060
2015-11-13 12:10:24,5.4348825440087E-10,45007,1,1061
2015-11-13 12:10:34,5.4348825440087E-10,45007,1,1062
2015-11-13 12:10:44,5.4348825440087E-10,45007,1,1063
2015-11-13 12:10:54,5.4348825440087E-10,45007,1,1064
2015-11-13 12:11:04,5.4348825440087E-10,45007,1,1065
2015-11-13 12:11:14,5.4348825440087E-10,45007,1,1066
2015-11-13 12:11:24,0.217322573065758,45007,1,1067
2015-11-13 12:11:34,0.434644550085068,45007,1,1068
2015-11-13 12:11:44,0.651987671852112,45007,1,1069
2015-11-13 12:11:54,0.869310319423676,45007,1,1070
2015-11-13 12:12:04,1.08662045001984,45007,1,1071
2015-11-13 12:12:14,1.30397093296051,45007,1,1072
2015-11-13 12:12:24,1.31481719017029,45007,1,1073
2015-11-13 12:12:34,1.31495749950409,45007,1,1074
2015-11-13 12:12:44,1.31495749950409,45007,1,1075
2015-11-13 12:12:54,1.31495749950409,45007,1,1076
2015-11-13 12:13:04,4.94495910885462E-09,45007,1,1077
2015-11-13 12:13:14,4.94495910885462E-09,45007,1,1078
2015-11-13 12:13:24,4.94495910885462E-09,45007,1,1079
2015-11-13 12:13:34,4.94495910885462E-09,45007,1,1080
2015-11-13 12:13:44,4.94495910885462E-09,45007,1,1081
2015-11-13 12:13:54,4.94495910885462E-09,45007,1,1082
2015-11-13 12:14:04,4.94495910885462E-09,45007,1,1083
2015-11-13 12:14:14,4.94495910885462E-09,45007,1,1084
2015-11-13 12:14:24,4.94495910885462E-09,45007,1,1085
2015-11-13 12:14:34,4.94495910885462E-09,45007,1,1086
